iter	Passed	Remaining
0	2	237
1	4	219
2	6	219
3	8	200
4	10	205
5	13	204
6	15	204
7	17	201
8	19	201
9	22	198
10	24	197
11	26	196
12	28	191
13	30	189
14	33	187
15	35	185
16	37	184
17	40	182
18	42	179
19	45	180
20	47	177
21	50	177
22	52	174
23	54	171
24	56	169
25	58	166
26	61	167
27	63	164
28	66	161
29	68	158
30	70	156
31	72	154
32	74	151
33	76	148
34	78	145
35	80	143
36	82	140
37	84	138
38	87	136
39	89	134
40	91	132
41	92	128
42	95	125
43	97	123
44	99	121
45	101	118
46	103	116
47	105	114
48	108	113
49	111	111
50	113	108
51	115	106
52	118	104
53	120	102
54	121	99
55	123	97
56	126	95
57	128	93
58	130	90
59	133	88
60	136	87
61	138	84
62	140	82
63	143	80
64	145	78
65	147	76
66	149	73
67	152	71
68	154	69
69	156	67
70	159	65
71	161	62
72	164	60
73	166	58
74	168	56
75	171	54
76	173	51
77	175	49
78	177	47
79	179	44
80	182	42
81	185	40
82	187	38
83	190	36
84	192	33
85	195	31
86	197	29
87	199	27
88	201	24
89	203	22
90	205	20
91	208	18
92	210	15
93	212	13
94	214	11
95	216	9
96	218	6
97	220	4
98	222	2
99	224	0
